id,num_cars,service_status,agency_id,route_id,trip_id,TripStart,TripEnd,gtfs_trip_id,direction,stop_pattern_id,call_name,current_stop_id,next_stop,arrival_status,heading,speed,segment_id,off_route,timestamp,load,apc_status,current_lat,current_long
8023071,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2208,,8212662,Late,321,1.188,8214772,False,13-11-2023 18 08 15,,up,41.880634,-87.624245
8023067,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2206,8273950,8273972,Early,354,0.072,8214772,False,13-11-2023 18 08 15,,up,41.799404,-87.58723
8023063,,in_service,100,8006606,12627956,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2204,,8197226,N/A,77,0.18,8214772,False,13-11-2023 18 08 15,,up,41.86755,-87.622986
8023069,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2207,,0,N/A,22,11.988,,True,13-11-2023 18 08 15,,up,41.888264,-87.62126
