id,num_cars,service_status,agency_id,route_id,trip_id,TripStart,TripEnd,gtfs_trip_id,direction,stop_pattern_id,call_name,current_stop_id,next_stop,arrival_status,heading,speed,segment_id,off_route,timestamp,load,apc_status,current_lat,current_long
8023071,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2208,,8273946,Late,279,16.776,8214772,False,13-11-2023 18 26 16,,up,41.89167,-87.62801
8023067,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2206,,8212662,Early,333,0.072,8214772,False,13-11-2023 18 26 16,,up,41.88082,-87.62424
8023063,,in_service,100,8006606,12627956,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2204,8197226,0,N/A,274,0,8214772,False,13-11-2023 18 26 16,,up,41.78778,-87.59704
8023069,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2207,,8273704,Late,298,23.4,,True,13-11-2023 18 26 16,,up,41.876717,-87.64017
