id,num_cars,service_status,agency_id,route_id,trip_id,TripStart,TripEnd,gtfs_trip_id,direction,stop_pattern_id,call_name,current_stop_id,next_stop,arrival_status,heading,speed,segment_id,off_route,timestamp,load,apc_status,current_lat,current_long
8023057,,in_service,100,8006606,12627956,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2201,,8197226,N/A,162,72.396,8214772,False,13-11-2023 17 50 14,,up,41.84666,-87.611916
8023071,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2208,,8273950,Late,0,34.092,8214772,False,13-11-2023 17 50 14,,up,41.798405,-87.587166
8023067,,in_service,100,8006606,12627994,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2206,,8197226,Early,260,33.372,8214772,False,13-11-2023 17 50 14,,up,41.792656,-87.58315
8023063,,in_service,100,8006606,12627956,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2204,,0,N/A,257,19.188,,True,13-11-2023 17 50 14,,up,41.886967,-87.63186
8023069,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2207,,8273696,N/A,342,27.972,8214772,False,13-11-2023 17 50 14,,up,41.809807,-87.591576
