id,num_cars,service_status,agency_id,route_id,trip_id,TripStart,TripEnd,gtfs_trip_id,direction,stop_pattern_id,call_name,current_stop_id,next_stop,arrival_status,heading,speed,segment_id,off_route,timestamp,load,apc_status,current_lat,current_long
8023069,,in_service,100,8006606,12607160,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,222406,2207,,8273972,Early,2,0,8213688,False,05-10-2023 20 06 32,,up,41.802174,-87.58769
8023071,,in_service,100,8006606,12607158,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,222406,2208,,0,N/A,269,24.372,8213688,False,05-10-2023 20 06 32,,up,41.78775,-87.60065
8023061,,in_service,100,8006606,12607160,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,222406,2203,,8273696,N/A,335,22.176,8213688,False,05-10-2023 20 06 32,,up,41.86729,-87.620415
