id,num_cars,service_status,agency_id,route_id,trip_id,TripStart,TripEnd,gtfs_trip_id,direction,stop_pattern_id,call_name,current_stop_id,next_stop,arrival_status,heading,speed,segment_id,off_route,timestamp,load,apc_status,current_lat,current_long
8023063,,in_service,100,8006606,12627956,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2204,,8197226,Late,349,10.368,8214772,False,13-11-2023 18 27 38,,up,41.787586,-87.596375
8023071,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2208,,8273946,Late,287,37.08,8214772,False,13-11-2023 18 27 38,,up,41.89175,-87.622955
8023069,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2207,,8273948,Late,147,24.696,8214772,False,13-11-2023 18 27 38,,up,41.879044,-87.63696
8023067,,in_service,100,8006606,12627996,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,,False,223490,2206,,8212662,Early,353,0,8214772,False,13-11-2023 18 27 38,,up,41.877808,-87.62419
